Regio,Migratieachtergrond,value
Nederland,Afghanistan,34249
Nederland,Australië,13960
Nederland,België,113239
Nederland,Brazilië,10900
Nederland,Canada en overig Noord-Amerika,12513
Nederland,China,38815
Nederland,Colombia,8798
Nederland,Dominicaanse Republiek,9200
Nederland,Duitsland,393207
Nederland,Egypte,17026
Nederland,Ethiopië,10120
Nederland,Filippijnen,11755
Nederland,Frankrijk,32375
Nederland,Ghana,17974
Nederland,Griekenland,12448
Nederland,Hongarije,12530
Nederland,Hongkong,17923
Nederland,India,12971
Nederland,Indonesië,400622
Nederland,Irak,41959
Nederland,Iran,28043
Nederland,Italië,35586
Nederland,Japan,7116
Nederland,Kaapverdië,19353
Nederland,Marokko,295332
Nederland,Oostenrijk,15506
Nederland,Pakistan,17749
Nederland,Polen,34051
Nederland,Portugal,16597
Nederland,Somalië,27567
Nederland,Spanje,31206
Nederland,Suriname,320658
Nederland,Turkije,341400
Nederland,Verenigd Koninkrijk,76078
Nederland,Verenigde Staten van Amerika,29859
Nederland,Vietnam,16865
Nederland,Zuid-Afrika,14914
Nederland,Overig Afrika,84403
Nederland,Overig Amerika,32866
Nederland,Overig Azië,62450
Nederland,Overig Europa,58874
Nederland,Overig Oceanië,5007
Groningen (PV),Afghanistan,1228
Groningen (PV),Australië,361
Groningen (PV),België,934
Groningen (PV),Brazilië,281
Groningen (PV),Canada en overig Noord-Amerika,357
Groningen (PV),China,1343
Groningen (PV),Colombia,187
Groningen (PV),Dominicaanse Republiek,352
Groningen (PV),Duitsland,12820
Groningen (PV),Egypte,245
Groningen (PV),Ethiopië,174
Groningen (PV),Filippijnen,237
Groningen (PV),Frankrijk,621
Groningen (PV),Ghana,87
Groningen (PV),Griekenland,200
Groningen (PV),Hongarije,245
Groningen (PV),Hongkong,263
Groningen (PV),India,193
Groningen (PV),Indonesië,10994
Groningen (PV),Irak,1250
Groningen (PV),Iran,1212
Groningen (PV),Italië,952
Groningen (PV),Japan,73
Groningen (PV),Kaapverdië,289
Groningen (PV),Marokko,1348
Groningen (PV),Oostenrijk,297
Groningen (PV),Pakistan,192
Groningen (PV),Polen,1115
Groningen (PV),Portugal,147
Groningen (PV),Somalië,867
Groningen (PV),Spanje,358
Groningen (PV),Suriname,6070
Groningen (PV),Turkije,4286
Groningen (PV),Verenigd Koninkrijk,1606
Groningen (PV),Verenigde Staten van Amerika,657
Groningen (PV),Vietnam,296
Groningen (PV),Zuid-Afrika,354
Groningen (PV),Overig Afrika,3545
Groningen (PV),Overig Amerika,752
Groningen (PV),Overig Azië,1941
Groningen (PV),Overig Europa,1923
Groningen (PV),Overig Oceanië,99
Friesland (PV),Afghanistan,1166
Friesland (PV),Australië,316
Friesland (PV),België,791
Friesland (PV),Brazilië,175
Friesland (PV),Canada en overig Noord-Amerika,709
Friesland (PV),China,1260
Friesland (PV),Colombia,113
Friesland (PV),Dominicaanse Republiek,121
Friesland (PV),Duitsland,9949
Friesland (PV),Egypte,288
Friesland (PV),Ethiopië,145
Friesland (PV),Filippijnen,280
Friesland (PV),Frankrijk,521
Friesland (PV),Ghana,71
Friesland (PV),Griekenland,187
Friesland (PV),Hongarije,215
Friesland (PV),Hongkong,169
Friesland (PV),India,204
Friesland (PV),Indonesië,7841
Friesland (PV),Irak,2117
Friesland (PV),Iran,793
Friesland (PV),Italië,569
Friesland (PV),Japan,37
Friesland (PV),Kaapverdië,94
Friesland (PV),Marokko,2097
Friesland (PV),Oostenrijk,305
Friesland (PV),Pakistan,192
Friesland (PV),Polen,769
Friesland (PV),Portugal,119
Friesland (PV),Somalië,937
Friesland (PV),Spanje,243
Friesland (PV),Suriname,2890
Friesland (PV),Turkije,1605
Friesland (PV),Verenigd Koninkrijk,1329
Friesland (PV),Verenigde Staten van Amerika,622
Friesland (PV),Vietnam,765
Friesland (PV),Zuid-Afrika,349
Friesland (PV),Overig Afrika,3400
Friesland (PV),Overig Amerika,629
Friesland (PV),Overig Azië,1813
Friesland (PV),Overig Europa,1296
Friesland (PV),Overig Oceanië,118
Drenthe (PV),Afghanistan,806
Drenthe (PV),Australië,283
Drenthe (PV),België,614
Drenthe (PV),Brazilië,179
Drenthe (PV),Canada en overig Noord-Amerika,295
Drenthe (PV),China,800
Drenthe (PV),Colombia,68
Drenthe (PV),Dominicaanse Republiek,81
Drenthe (PV),Duitsland,9272
Drenthe (PV),Egypte,334
Drenthe (PV),Ethiopië,164
Drenthe (PV),Filippijnen,146
Drenthe (PV),Frankrijk,302
Drenthe (PV),Ghana,33
Drenthe (PV),Griekenland,124
Drenthe (PV),Hongarije,131
Drenthe (PV),Hongkong,153
Drenthe (PV),India,82
Drenthe (PV),Indonesië,8075
Drenthe (PV),Irak,1189
Drenthe (PV),Iran,592
Drenthe (PV),Italië,548
Drenthe (PV),Japan,14
Drenthe (PV),Kaapverdië,12
Drenthe (PV),Marokko,1212
Drenthe (PV),Oostenrijk,206
Drenthe (PV),Pakistan,136
Drenthe (PV),Polen,729
Drenthe (PV),Portugal,83
Drenthe (PV),Somalië,482
Drenthe (PV),Spanje,190
Drenthe (PV),Suriname,1693
Drenthe (PV),Turkije,1616
Drenthe (PV),Verenigd Koninkrijk,1048
Drenthe (PV),Verenigde Staten van Amerika,369
Drenthe (PV),Vietnam,269
Drenthe (PV),Zuid-Afrika,290
Drenthe (PV),Overig Afrika,2089
Drenthe (PV),Overig Amerika,316
Drenthe (PV),Overig Azië,1346
Drenthe (PV),Overig Europa,931
Drenthe (PV),Overig Oceanië,83
Overijssel (PV),Afghanistan,1747
Overijssel (PV),Australië,634
Overijssel (PV),België,1494
Overijssel (PV),Brazilië,691
Overijssel (PV),Canada en overig Noord-Amerika,566
Overijssel (PV),China,2840
Overijssel (PV),Colombia,324
Overijssel (PV),Dominicaanse Republiek,214
Overijssel (PV),Duitsland,32701
Overijssel (PV),Egypte,310
Overijssel (PV),Ethiopië,383
Overijssel (PV),Filippijnen,437
Overijssel (PV),Frankrijk,922
Overijssel (PV),Ghana,142
Overijssel (PV),Griekenland,258
Overijssel (PV),Hongarije,902
Overijssel (PV),Hongkong,493
Overijssel (PV),India,324
Overijssel (PV),Indonesië,21042
Overijssel (PV),Irak,3911
Overijssel (PV),Iran,1509
Overijssel (PV),Italië,2698
Overijssel (PV),Japan,43
Overijssel (PV),Kaapverdië,19
Overijssel (PV),Marokko,3881
Overijssel (PV),Oostenrijk,677
Overijssel (PV),Pakistan,249
Overijssel (PV),Polen,1738
Overijssel (PV),Portugal,281
Overijssel (PV),Somalië,948
Overijssel (PV),Spanje,1563
Overijssel (PV),Suriname,4971
Overijssel (PV),Turkije,32962
Overijssel (PV),Verenigd Koninkrijk,2172
Overijssel (PV),Verenigde Staten van Amerika,867
Overijssel (PV),Vietnam,1051
Overijssel (PV),Zuid-Afrika,733
