regio,periode,migratieachtergrond,totaal,percentage,id
Groningen,1996,55239,558113,0.099,2
Groningen,1997,56401,558124,0.101,2
Groningen,1998,57754,558017,0.103,2
Groningen,1999,59754,559988,0.107,2
Groningen,2000,61485,562646,0.109,2
Groningen,2001,64357,566489,0.114,2
Groningen,2002,67744,570480,0.119,2
Groningen,2003,69940,572997,0.122,2
Groningen,2004,70424,574384,0.123,2
Groningen,2005,70873,575072,0.123,2
Groningen,2006,70655,574042,0.123,2
Groningen,2007,70457,573614,0.123,2
Groningen,2008,70862,573459,0.124,2
Groningen,2009,72190,574092,0.126,2
Groningen,2010,74209,576668,0.129,2
Groningen,2011,76684,579036,0.132,2
Groningen,2012,78504,580875,0.135,2
Groningen,2013,79938,581705,0.137,2
Groningen,2014,81828,582728,0.140,2
Groningen,2015,83785,583942,0.143,2
Groningen,2016,85584,583721,0.147,2
Groningen,2017,87671,583581,0.150,2
Friesland,1996,40113,612028,0.066,5
Friesland,1997,41999,615045,0.068,5
Friesland,1998,43529,618115,0.070,5
Friesland,1999,45131,621222,0.073,5
Friesland,2000,46530,624500,0.075,5
Friesland,2001,49706,630539,0.079,5
Friesland,2002,52421,636184,0.082,5
Friesland,2003,53766,639787,0.084,5
Friesland,2004,54108,642066,0.084,5
Friesland,2005,53918,642977,0.084,5
Friesland,2006,52433,642230,0.082,5
Friesland,2007,52231,642209,0.081,5
Friesland,2008,52840,643189,0.082,5
Friesland,2009,53592,644811,0.083,5
Friesland,2010,54618,646305,0.085,5
Friesland,2011,55381,647282,0.086,5
Friesland,2012,56019,647214,0.087,5
Friesland,2013,56466,646862,0.087,5
Friesland,2014,57135,646317,0.088,5
Friesland,2015,57869,646257,0.090,5
Friesland,2016,59083,646040,0.091,5
Friesland,2017,61466,646874,0.095,5
Drenthe,1996,33411,457316,0.073,6
Drenthe,1997,34826,460817,0.076,6
Drenthe,1998,36328,464672,0.078,6
Drenthe,1999,37213,467093,0.080,6
Drenthe,2000,37809,469806,0.080,6
Drenthe,2001,39976,474506,0.084,6
Drenthe,2002,41611,478799,0.087,6
Drenthe,2003,42195,481254,0.088,6
Drenthe,2004,42035,482415,0.087,6
Drenthe,2005,41368,483369,0.086,6
Drenthe,2006,41148,484481,0.085,6
Drenthe,2007,41698,486197,0.086,6
Drenthe,2008,42199,488135,0.086,6
Drenthe,2009,42799,489918,0.087,6
Drenthe,2010,43589,490981,0.089,6
Drenthe,2011,44079,491411,0.090,6
Drenthe,2012,44248,490807,0.090,6
Drenthe,2013,44418,489918,0.091,6
Drenthe,2014,44818,488988,0.092,6
Drenthe,2015,45342,488576,0.093,6
Drenthe,2016,46646,488629,0.095,6
Drenthe,2017,50053,491792,0.102,6
Overijssel,1996,125353,1053966,0.119,3
Overijssel,1997,128112,1057944,0.121,3
Overijssel,1998,131793,1063527,0.124,3
Overijssel,1999,134784,1070444,0.126,3
Overijssel,2000,138214,1077625,0.128,3
Overijssel,2001,143110,1086280,0.132,3
Overijssel,2002,147491,1094032,0.135,3
Overijssel,2003,150928,1100677,0.137,3
Overijssel,2004,152049,1105512,0.138,3
Overijssel,2005,152922,1109432,0.138,3
Overijssel,2006,154082,1113529,0.138,3
Overijssel,2007,154672,1116374,0.139,3
Overijssel,2008,155357,1119994,0.139,3
Overijssel,2009,158124,1125435,0.141,3
Overijssel,2010,160493,1130345,0.142,3
Overijssel,2011,162522,1134465,0.143,3
Overijssel,2012,163902,1137668,0.144,3
Overijssel,2013,164435,1139350,0.144,3
Overijssel,2014,165026,1139697,0.145,3
Overijssel,2015,166019,1140652,0.146,3
Overijssel,2016,169256,1144280,0.148,3
Overijssel,2017,172307,1147687,0.150,3
Flevoland,1996,45933,272843,0.168,7
Flevoland,1997,48731,281472,0.173,7
Flevoland,1998,52892,293286,0.180,7
Flevoland,1999,57976,306468,0.189,7
Flevoland,2000,62664,317206,0.198,7
Flevoland,2001,68283,328936,0.208,7
Flevoland,2002,75521,341721,0.221,7
Flevoland,2003,81576,351680,0.232,7
Flevoland,2004,86912,359904,0.241,7
Flevoland,2005,90584,365859,0.248,7
Flevoland,2006,93632,370656,0.253,7
Flevoland,2007,95704,374424,0.256,7
Flevoland,2008,98204,378688,0.259,7
Flevoland,2009,101272,383449,0.264,7
Flevoland,2010,104389,387881,0.269,7
Flevoland,2011,107176,391967,0.273,7
Flevoland,2012,109757,395525,0.277,7
Flevoland,2013,112243,398441,0.282,7
Flevoland,2014,113882,399893,0.285,7
Flevoland,2015,116142,401791,0.289,7
Flevoland,2016,118671,404068,0.294,7
Flevoland,2017,122952,407818,0.301,7
Gelderland,1996,222690,1876299,0.119,11
Gelderland,1997,227361,1886109,0.121,11
Gelderland,1998,232269,1895656,0.123,11
Gelderland,1999,238055,1906778,0.125,11
Gelderland,2000,243834,1919158,0.127,11
Gelderland,2001,251451,1934314,0.130,11
Gelderland,2002,260204,1949233,0.133,11
Gelderland,2003,267067,1960422,0.136,11
Gelderland,2004,269770,1966929,0.137,11
Gelderland,2005,270773,1972010,0.137,11
Gelderland,2006,271498,1975704,0.137,11
Gelderland,2007,271978,1979059,0.137,11
Gelderland,2008,274843,1983869,0.139,11
Gelderland,2009,278901,1991062,0.140,11
Gelderland,2010,283010,1998936,0.142,11
Gelderland,2011,285408,2004671,0.142,11
Gelderland,2012,288869,2010745,0.144,11
Gelderland,2013,291491,2015791,0.145,11
