Regio,Migratieachtergrond,value
Nederland,Afghanistan,44339
Nederland,Australië,16127
Nederland,België,116389
Nederland,Brazilië,23675
Nederland,Canada en overig Noord-Amerika,15674
Nederland,China,68697
Nederland,Colombia,15892
Nederland,Dominicaanse Republiek,13972
Nederland,Duitsland,360116
Nederland,Egypte,23198
Nederland,Ethiopië,16347
Nederland,Filippijnen,20073
Nederland,Frankrijk,42070
Nederland,Ghana,23168
Nederland,Griekenland,20769
Nederland,Hongarije,22080
Nederland,Hongkong,18300
Nederland,India,32682
Nederland,Indonesië,366849
Nederland,Irak,56269
Nederland,Iran,38458
Nederland,Italië,48366
Nederland,Japan,7726
Nederland,Kaapverdië,22157
Nederland,Marokko,385761
Nederland,Oostenrijk,15674
Nederland,Pakistan,21447
Nederland,Polen,149831
Nederland,Portugal,24930
Nederland,Somalië,39465
Nederland,Spanje,41572
Nederland,Suriname,349022
Nederland,Turkije,397471
Nederland,Verenigd Koninkrijk,84466
Nederland,Verenigde Staten van Amerika,38494
Nederland,Vietnam,21435
Nederland,Zuid-Afrika,19877
Nederland,Overig Afrika,111780
Nederland,Overig Amerika,52190
Nederland,Overig Azië,129936
Nederland,Overig Europa,114389
Nederland,Overig Oceanië,5921
Groningen (PV),Afghanistan,795
Groningen (PV),Australië,462
Groningen (PV),België,1121
Groningen (PV),Brazilië,736
Groningen (PV),Canada en overig Noord-Amerika,559
Groningen (PV),China,2319
Groningen (PV),Colombia,373
Groningen (PV),Dominicaanse Republiek,483
Groningen (PV),Duitsland,13908
Groningen (PV),Egypte,389
Groningen (PV),Ethiopië,578
Groningen (PV),Filippijnen,410
Groningen (PV),Frankrijk,816
Groningen (PV),Ghana,163
Groningen (PV),Griekenland,455
Groningen (PV),Hongarije,448
Groningen (PV),Hongkong,204
Groningen (PV),India,576
Groningen (PV),Indonesië,10127
Groningen (PV),Irak,1365
Groningen (PV),Iran,1366
Groningen (PV),Italië,1428
Groningen (PV),Japan,120
Groningen (PV),Kaapverdië,268
Groningen (PV),Marokko,1785
Groningen (PV),Oostenrijk,342
Groningen (PV),Pakistan,262
Groningen (PV),Polen,2173
Groningen (PV),Portugal,305
Groningen (PV),Somalië,1149
Groningen (PV),Spanje,797
Groningen (PV),Suriname,6246
Groningen (PV),Turkije,4654
Groningen (PV),Verenigd Koninkrijk,2181
Groningen (PV),Verenigde Staten van Amerika,986
Groningen (PV),Vietnam,363
Groningen (PV),Zuid-Afrika,545
Groningen (PV),Overig Afrika,3991
Groningen (PV),Overig Amerika,1330
Groningen (PV),Overig Azië,4704
Groningen (PV),Overig Europa,3510
Groningen (PV),Overig Oceanië,149
Friesland (PV),Afghanistan,851
Friesland (PV),Australië,321
Friesland (PV),België,915
Friesland (PV),Brazilië,392
Friesland (PV),Canada en overig Noord-Amerika,694
Friesland (PV),China,1376
Friesland (PV),Colombia,245
Friesland (PV),Dominicaanse Republiek,195
Friesland (PV),Duitsland,9800
Friesland (PV),Egypte,369
Friesland (PV),Ethiopië,337
Friesland (PV),Filippijnen,489
Friesland (PV),Frankrijk,560
Friesland (PV),Ghana,114
Friesland (PV),Griekenland,287
Friesland (PV),Hongarije,461
Friesland (PV),Hongkong,139
Friesland (PV),India,446
Friesland (PV),Indonesië,7307
Friesland (PV),Irak,1819
Friesland (PV),Iran,621
Friesland (PV),Italië,639
Friesland (PV),Japan,62
Friesland (PV),Kaapverdië,84
Friesland (PV),Marokko,2180
Friesland (PV),Oostenrijk,330
Friesland (PV),Pakistan,196
Friesland (PV),Polen,1783
Friesland (PV),Portugal,178
Friesland (PV),Somalië,1006
Friesland (PV),Spanje,360
Friesland (PV),Suriname,3094
Friesland (PV),Turkije,1736
Friesland (PV),Verenigd Koninkrijk,1521
Friesland (PV),Verenigde Staten van Amerika,647
Friesland (PV),Vietnam,782
Friesland (PV),Zuid-Afrika,490
Friesland (PV),Overig Afrika,3145
Friesland (PV),Overig Amerika,868
Friesland (PV),Overig Azië,3369
Friesland (PV),Overig Europa,2314
Friesland (PV),Overig Oceanië,139
Drenthe (PV),Afghanistan,523
Drenthe (PV),Australië,317
Drenthe (PV),België,711
Drenthe (PV),Brazilië,388
Drenthe (PV),Canada en overig Noord-Amerika,228
Drenthe (PV),China,1023
Drenthe (PV),Colombia,159
Drenthe (PV),Dominicaanse Republiek,128
Drenthe (PV),Duitsland,8607
Drenthe (PV),Egypte,364
Drenthe (PV),Ethiopië,350
Drenthe (PV),Filippijnen,282
Drenthe (PV),Frankrijk,367
Drenthe (PV),Ghana,45
Drenthe (PV),Griekenland,159
Drenthe (PV),Hongarije,249
Drenthe (PV),Hongkong,106
Drenthe (PV),India,190
Drenthe (PV),Indonesië,7597
Drenthe (PV),Irak,1449
Drenthe (PV),Iran,585
Drenthe (PV),Italië,622
Drenthe (PV),Japan,24
Drenthe (PV),Kaapverdië,18
Drenthe (PV),Marokko,1514
Drenthe (PV),Oostenrijk,227
Drenthe (PV),Pakistan,169
Drenthe (PV),Polen,1557
Drenthe (PV),Portugal,133
Drenthe (PV),Somalië,835
Drenthe (PV),Spanje,249
Drenthe (PV),Suriname,1883
Drenthe (PV),Turkije,1801
Drenthe (PV),Verenigd Koninkrijk,1083
Drenthe (PV),Verenigde Staten van Amerika,403
Drenthe (PV),Vietnam,285
Drenthe (PV),Zuid-Afrika,394
Drenthe (PV),Overig Afrika,1951
Drenthe (PV),Overig Amerika,436
Drenthe (PV),Overig Azië,2670
Drenthe (PV),Overig Europa,1356
Drenthe (PV),Overig Oceanië,94
Overijssel (PV),Afghanistan,1762
Overijssel (PV),Australië,696
Overijssel (PV),België,1786
Overijssel (PV),Brazilië,1318
Overijssel (PV),Canada en overig Noord-Amerika,660
Overijssel (PV),China,3328
Overijssel (PV),Colombia,592
Overijssel (PV),Dominicaanse Republiek,428
Overijssel (PV),Duitsland,29064
Overijssel (PV),Egypte,430
Overijssel (PV),Ethiopië,644
Overijssel (PV),Filippijnen,723
Overijssel (PV),Frankrijk,1054
Overijssel (PV),Ghana,184
Overijssel (PV),Griekenland,443
Overijssel (PV),Hongarije,1146
Overijssel (PV),Hongkong,426
Overijssel (PV),India,703
Overijssel (PV),Indonesië,19161
Overijssel (PV),Irak,6413
Overijssel (PV),Iran,1713
Overijssel (PV),Italië,2732
Overijssel (PV),Japan,83
Overijssel (PV),Kaapverdië,35
Overijssel (PV),Marokko,4299
Overijssel (PV),Oostenrijk,741
Overijssel (PV),Pakistan,423
Overijssel (PV),Polen,4868
Overijssel (PV),Portugal,355
Overijssel (PV),Somalië,1361
Overijssel (PV),Spanje,1646
Overijssel (PV),Suriname,5456
Overijssel (PV),Turkije,34473
Overijssel (PV),Verenigd Koninkrijk,2342
Overijssel (PV),Verenigde Staten van Amerika,958
Overijssel (PV),Vietnam,949
Overijssel (PV),Zuid-Afrika,1009
Overijssel (PV),Overig Afrika,4976
Overijssel (PV),Overig Amerika,1676
Overijssel (PV),Overig Azië,11552
Overijssel (PV),Overig Europa,3703
Overijssel (PV),Overig Oceanië,283
Flevoland (PV),Afghanistan,1645
Flevoland (PV),Australië,379
Flevoland (PV),België,1345
Flevoland (PV),Brazilië,755
Flevoland (PV),Canada en overig Noord-Amerika,483
Flevoland (PV),China,1585
Flevoland (PV),Colombia,547
Flevoland (PV),Dominicaanse Republiek,551
Flevoland (PV),Duitsland,6178
Flevoland (PV),Egypte,922
Flevoland (PV),Ethiopië,470
Flevoland (PV),Filippijnen,1065
Flevoland (PV),Frankrijk,832
Flevoland (PV),Ghana,1478
Flevoland (PV),Griekenland,314
Flevoland (PV),Hongarije,607
Flevoland (PV),Hongkong,484
Flevoland (PV),India,1133
Flevoland (PV),Indonesië,9374
Flevoland (PV),Irak,2675
Flevoland (PV),Iran,1995
Flevoland (PV),Italië,963
Flevoland (PV),Japan,150
Flevoland (PV),Kaapverdië,140
Flevoland (PV),Marokko,11249
Flevoland (PV),Oostenrijk,317
Flevoland (PV),Pakistan,788
Flevoland (PV),Polen,5004
Flevoland (PV),Portugal,791
Flevoland (PV),Somalië,793
Flevoland (PV),Spanje,909
Flevoland (PV),Suriname,27601
Flevoland (PV),Turkije,6370
